id,category,name,slug,provider,vendor_code,vendor,type_product,price,stock,available
14992,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для MP 2001SP/MP 2501SP",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-mp-2001sp-mp-2501sp-983490,megatrade,983490,Ricoh,TYPE_PRODUCT,658,1,1
14993,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для MP 402SPF",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-mp-402spf-914288,megatrade,914288,Ricoh,TYPE_PRODUCT,335,1,1
14994,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для MP C305",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-mp-c305-974941,megatrade,974941,Ricoh,TYPE_PRODUCT,471,1,1
14995,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для MP W6700",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-mp-w6700-912690,megatrade,912690,Ricoh,TYPE_PRODUCT,645,1,1
14996,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для MP W840SP",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-mp-w840sp-904648,megatrade,904648,Ricoh,TYPE_PRODUCT,675,1,1
14997,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для SP 4510SF",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-sp-4510sf-992001,megatrade,992001,Ricoh,TYPE_PRODUCT,323,1,1
14998,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для SP 5200DN/5210DN",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-sp-5200dn-5210dn-973154,megatrade,973154,Ricoh,TYPE_PRODUCT,667,1,1
14999,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для серії MP 2014",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-seriyi-mp-2014-906702,megatrade,906702,Ricoh,TYPE_PRODUCT,252,1,1
15000,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-903688,megatrade,903688,Ricoh,TYPE_PRODUCT,548,1,1
15001,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою ",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-917516,megatrade,917516,Ricoh,TYPE_PRODUCT,570,1,1
